model,bench,variant,k,sample_method,tp,tag,batch_size,output_tok_s,output_tok_s_per_gpu,wall_ms_per_output_token,mean_acceptance_length,acceptance_rate,partial
Qwen3-30B-A3B,openmath,fixed_k2,2,greedy,1,qwen3_30ba3b_openmath_profile_k2_20260712,16,4020.559556315659,4020.559556315659,3.9795455771489685,2.4926565710372115,0.7463282855186059,False
Qwen3-30B-A3B,openmath,fixed_k2,2,greedy,1,qwen3_30ba3b_openmath_profile_k2_20260712,32,6962.615235833553,6962.615235833553,4.595974201663466,2.479827416546817,0.7399137082734085,False
Qwen3-30B-A3B,openmath,fixed_k2,2,greedy,1,qwen3_30ba3b_openmath_profile_k2_20260712,64,12204.793645028234,12204.793645028234,5.243841220213596,2.4632665338196036,0.7316332669098019,False
Qwen3-30B-A3B,openmath,fixed_k2,2,greedy,1,qwen3_30ba3b_openmath_profile_k2_20260712,128,20886.212745316036,20886.212745316036,6.128444709474934,2.4654100473113427,0.7327050236556713,False
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_profile_k3_20260712,1,606.5288916805929,606.5288916805929,1.6487260767235057,3.010294117647059,0.6700980392156862,False
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_profile_k3_20260712,2,736.0595054403356,736.0595054403356,2.7171716216116693,3.0804511278195488,0.6934837092731829,False
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_profile_k3_20260712,4,1601.9436090679512,1601.9436090679512,2.4969667954337638,2.9709934735315446,0.6569978245105149,False
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_profile_k3_20260712,8,2612.732201612578,2612.732201612578,3.0619288096431774,3.0293845869525042,0.676461528984168,False
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_profile_k3_20260712,16,4457.68066217155,4457.68066217155,3.5893104985689206,2.9820843943252093,0.660694798108403,False
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_profile_k3_20260712,32,7184.69831920127,7184.69831920127,4.453910043025644,2.977016715116279,0.6590055717054264,False
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_profile_k3_20260712,64,13958.337119173051,13958.337119173051,4.585073383282179,2.9697594346033616,0.6565864782011205,False
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_profile_k3_20260712,128,22233.283446943624,22233.283446943624,5.757134356940696,2.9639292375515742,0.654643079183858,False
Qwen3-30B-A3B,openmath,fixed_k3_prob,3,probabilistic,1,qwen3_30ba3b_openmath_profile_k3_probabilistic_20260712,1,548.1183098824171,548.1183098824171,1.8244236362301436,2.9941520467836256,0.6647173489278753,False
Qwen3-30B-A3B,openmath,fixed_k3_prob,3,probabilistic,1,qwen3_30ba3b_openmath_profile_k3_probabilistic_20260712,2,690.5528214357337,690.5528214357337,2.8962302924804284,3.0865963855421685,0.6955321285140562,False
Qwen3-30B-A3B,openmath,fixed_k3_prob,3,probabilistic,1,qwen3_30ba3b_openmath_profile_k3_probabilistic_20260712,4,1551.9046322564047,1551.9046322564047,2.577477969238462,2.9930606281957632,0.6643535427319212,False
Qwen3-30B-A3B,openmath,fixed_k3_prob,3,probabilistic,1,qwen3_30ba3b_openmath_profile_k3_probabilistic_20260712,8,2567.1399683442232,2567.1399683442232,3.1163084594720836,2.966147719044171,0.6553825730147236,False
Qwen3-30B-A3B,openmath,fixed_k3_prob,3,probabilistic,1,qwen3_30ba3b_openmath_profile_k3_probabilistic_20260712,16,4290.1662427492965,4290.1662427492965,3.7294592084959888,2.9938790425726296,0.6646263475242098,False
Qwen3-30B-A3B,openmath,fixed_k3_prob,3,probabilistic,1,qwen3_30ba3b_openmath_profile_k3_probabilistic_20260712,32,7083.41740090841,7083.41740090841,4.517593442382228,2.964103259641033,0.6547010865470109,False
Qwen3-30B-A3B,openmath,fixed_k3_prob,3,probabilistic,1,qwen3_30ba3b_openmath_profile_k3_probabilistic_20260712,64,12891.477279460267,12891.477279460267,4.964520249511661,2.9386236269894646,0.6462078756631547,False
Qwen3-30B-A3B,openmath,fixed_k3_prob,3,probabilistic,1,qwen3_30ba3b_openmath_profile_k3_probabilistic_20260712,128,19676.850051421734,19676.850051421734,6.505106237304048,2.9545142058581555,0.6515047352860518,False
Qwen3-30B-A3B,openmath,fixed_k5,5,greedy,1,qwen3_30ba3b_openmath_profile_k5_20260712,1,590.3262586721868,590.3262586721868,1.6939785166414367,3.730909090909091,0.5461818181818182,False
Qwen3-30B-A3B,openmath,fixed_k5,5,greedy,1,qwen3_30ba3b_openmath_profile_k5_20260712,2,745.8868055617544,745.8868055617544,2.681372005895355,3.773480662983425,0.554696132596685,False
Qwen3-30B-A3B,openmath,fixed_k5,5,greedy,1,qwen3_30ba3b_openmath_profile_k5_20260712,4,1711.8875456600133,1711.8875456600133,2.336602080049488,3.67577250335871,0.5351545006717421,False
Qwen3-30B-A3B,openmath,fixed_k5,5,greedy,1,qwen3_30ba3b_openmath_profile_k5_20260712,8,2892.955556793991,2892.955556793991,2.765338022982178,3.7187570877750056,0.5437514175550011,False
Qwen3-30B-A3B,openmath,fixed_k5,5,greedy,1,qwen3_30ba3b_openmath_profile_k5_20260712,16,4694.8970219408275,4694.8970219408275,3.4079554727668437,3.6868539325842695,0.5373707865168539,False
Qwen3-30B-A3B,openmath,fixed_k5,5,greedy,1,qwen3_30ba3b_openmath_profile_k5_20260712,32,7833.151097030062,7833.151097030062,4.085201421958118,3.620075046904315,0.5240150093808631,False
Qwen3-30B-A3B,openmath,fixed_k5,5,greedy,1,qwen3_30ba3b_openmath_profile_k5_20260712,64,14578.667134390504,14578.667134390504,4.389976080119595,3.6379444228742583,0.5275888845748516,False
Qwen3-30B-A3B,openmath,fixed_k5,5,greedy,1,qwen3_30ba3b_openmath_profile_k5_20260712,128,8032.1461200230615,8032.1461200230615,15.935965069274971,3.603802093349084,0.5207604186698168,False
Qwen3-30B-A3B,openmath,fixed_k5_prob,5,probabilistic,1,qwen3_30ba3b_openmath_profile_k5_probabilistic_20260712,1,515.0163091450921,515.0163091450921,1.9416860830290261,3.6201413427561837,0.5240282685512367,False
Qwen3-30B-A3B,openmath,fixed_k5_prob,5,probabilistic,1,qwen3_30ba3b_openmath_profile_k5_probabilistic_20260712,2,695.9713985445401,695.9713985445401,2.8736813095804337,3.743144424131627,0.5486288848263254,False
Qwen3-30B-A3B,openmath,fixed_k5_prob,5,probabilistic,1,qwen3_30ba3b_openmath_profile_k5_probabilistic_20260712,4,1565.9216457793652,1565.9216457793652,2.554406225101502,3.5683202785030463,0.5136640557006092,False
Qwen3-30B-A3B,openmath,fixed_k5_prob,5,probabilistic,1,qwen3_30ba3b_openmath_profile_k5_probabilistic_20260712,8,2638.5988968674687,2638.5988968674687,3.0319121293871376,3.643793026870975,0.528758605374195,False
Qwen3-30B-A3B,openmath,fixed_k5_prob,5,probabilistic,1,qwen3_30ba3b_openmath_profile_k5_probabilistic_20260712,16,4116.960790555622,4116.960790555622,3.886362006824129,3.524500322372663,0.5049000644745325,False
Qwen3-30B-A3B,openmath,fixed_k5_prob,5,probabilistic,1,qwen3_30ba3b_openmath_profile_k5_probabilistic_20260712,32,7751.038017631704,7751.038017631704,4.128479298799448,3.567056265289481,0.5134112530578961,False
Qwen3-30B-A3B,openmath,fixed_k5_prob,5,probabilistic,1,qwen3_30ba3b_openmath_profile_k5_probabilistic_20260712,64,12658.317504244964,12658.317504244964,5.0559641894381,3.5383951216879823,0.5076790243375965,False
Qwen3-30B-A3B,openmath,fixed_k5_prob,5,probabilistic,1,qwen3_30ba3b_openmath_profile_k5_probabilistic_20260712,128,7556.677250307563,7556.677250307563,16.938661763646223,3.5609646860834396,0.5121929372166879,False
Qwen3-30B-A3B,openmath,fixed_k7,7,greedy,1,qwen3_30ba3b_openmath_profile_k7_20260712,1,556.4065396920456,556.4065396920456,1.7972470283211806,4.108216432865731,0.44403091898081876,False
Qwen3-30B-A3B,openmath,fixed_k7,7,greedy,1,qwen3_30ba3b_openmath_profile_k7_20260712,2,723.6286462160592,723.6286462160592,2.763848571305516,4.326293558606125,0.4751847940865892,False
Qwen3-30B-A3B,openmath,fixed_k7,7,greedy,1,qwen3_30ba3b_openmath_profile_k7_20260712,4,1699.6494299339151,1699.6494299339151,2.3534264946363237,4.051903114186851,0.4359861591695502,False
Qwen3-30B-A3B,openmath,fixed_k7,7,greedy,1,qwen3_30ba3b_openmath_profile_k7_20260712,8,2944.4164116689435,2944.4164116689435,2.7170069995179347,4.098950524737631,0.4427072178196616,False
Qwen3-30B-A3B,openmath,fixed_k7,7,greedy,1,qwen3_30ba3b_openmath_profile_k7_20260712,16,4659.859288021798,4659.859288021798,3.4335800742155698,4.032940019665683,0.4332771456665262,False
Qwen3-30B-A3B,openmath,fixed_k7,7,greedy,1,qwen3_30ba3b_openmath_profile_k7_20260712,32,8510.706965032428,8510.706965032428,3.759969663093443,3.986875683558148,0.4266965262225926,False
Qwen3-30B-A3B,openmath,fixed_k7,7,greedy,1,qwen3_30ba3b_openmath_profile_k7_20260712,64,14277.634032943048,14277.634032943048,4.482535401336918,3.965525576336224,0.42364651090517486,False
Qwen3-30B-A3B,openmath,fixed_k7,7,greedy,1,qwen3_30ba3b_openmath_profile_k7_20260712,128,8242.592240662683,8242.592240662683,15.529095248524527,3.94583583884546,0.4208336912636371,False
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_profile_k0_20260712,1,320.02613977766293,320.02613977766293,3.1247447495843517,,,False
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_profile_k0_20260712,2,525.8269105691468,525.8269105691468,3.8035329873764567,,,False
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_profile_k0_20260712,4,902.4360253347893,902.4360253347893,4.432447162685094,,,False
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_profile_k0_20260712,8,1521.0542278751577,1521.0542278751577,5.259510051246252,,,False
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_profile_k0_20260712,16,2403.4264767590003,2403.4264767590003,6.6571622451192525,,,False
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_profile_k0_20260712,32,4008.9968375058697,4008.9968375058697,7.982046705706125,,,False
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_profile_k0_20260712,64,6748.885713839664,6748.885713839664,9.483046937475592,,,False
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_profile_k0_20260712,128,10965.389083646194,10965.389083646194,11.673092402247676,,,False
Qwen3-30B-A3B,swe_verified,fixed_k1,1,greedy,1,qwen3_30ba3b_swe_verified_profile_k1_20260712,1,417.28185246220136,417.28185246220136,2.396461753846779,1.7007481296758105,0.7007481296758105,False
Qwen3-30B-A3B,swe_verified,fixed_k1,1,greedy,1,qwen3_30ba3b_swe_verified_profile_k1_20260712,2,562.153185271373,562.153185271373,3.5577491196363553,1.6699306405548757,0.6699306405548756,False
Qwen3-30B-A3B,swe_verified,fixed_k1,1,greedy,1,qwen3_30ba3b_swe_verified_profile_k1_20260712,4,1163.2178984523,1163.2178984523,3.438736633370354,1.680279088856967,0.680279088856967,False
Qwen3-30B-A3B,swe_verified,fixed_k1,1,greedy,1,qwen3_30ba3b_swe_verified_profile_k1_20260712,8,1910.5747627252204,1910.5747627252204,4.18722164454266,1.6858142886555487,0.6858142886555487,False
Qwen3-30B-A3B,swe_verified,fixed_k1,1,greedy,1,qwen3_30ba3b_swe_verified_profile_k1_20260712,16,3077.7902579607126,3077.7902579607126,5.198534876967642,1.6802811842577865,0.6802811842577865,False
Qwen3-30B-A3B,swe_verified,fixed_k1,1,greedy,1,qwen3_30ba3b_swe_verified_profile_k1_20260712,32,5376.57109283332,5376.57109283332,5.951748697725634,1.6821870666187273,0.6821870666187272,False
Qwen3-30B-A3B,swe_verified,fixed_k1,1,greedy,1,qwen3_30ba3b_swe_verified_profile_k1_20260712,64,9162.788630976776,9162.788630976776,6.984773149042667,1.6801764826595527,0.6801764826595527,False
Qwen3-30B-A3B,swe_verified,fixed_k1,1,greedy,1,qwen3_30ba3b_swe_verified_profile_k1_20260712,128,15471.851307724839,15471.851307724839,8.273088814917173,1.681095995893224,0.6810959958932238,False
Qwen3-30B-A3B,swe_verified,fixed_k2,2,greedy,1,qwen3_30ba3b_swe_verified_profile_k2_20260712,1,463.73905769141254,463.73905769141254,2.1563851123047595,2.127858627858628,0.5639293139293139,False
Qwen3-30B-A3B,swe_verified,fixed_k2,2,greedy,1,qwen3_30ba3b_swe_verified_profile_k2_20260712,2,555.2357606781343,555.2357606781343,3.602073464355593,2.050025012506253,0.5250125062531266,False
Qwen3-30B-A3B,swe_verified,fixed_k2,2,greedy,1,qwen3_30ba3b_swe_verified_profile_k2_20260712,4,1045.6576234452866,1045.6576234452866,3.8253438891600045,2.122893440497796,0.5614467202488981,False
Qwen3-30B-A3B,swe_verified,fixed_k2,2,greedy,1,qwen3_30ba3b_swe_verified_profile_k2_20260712,8,2131.5927876262494,2131.5927876262494,3.7530620512695734,2.1319968758135905,0.5659984379067952,False
Qwen3-30B-A3B,swe_verified,fixed_k2,2,greedy,1,qwen3_30ba3b_swe_verified_profile_k2_20260712,16,3370.1635557188356,3370.1635557188356,4.747544068847809,2.090155043705736,0.545077521852868,False
Qwen3-30B-A3B,swe_verified,fixed_k2,2,greedy,1,qwen3_30ba3b_swe_verified_profile_k2_20260712,32,5699.255918023162,5699.255918023162,5.6147680434570635,2.1085508319119493,0.5542754159559746,False
Qwen3-30B-A3B,swe_verified,fixed_k2,2,greedy,1,qwen3_30ba3b_swe_verified_profile_k2_20260712,64,10275.0857766944,10275.0857766944,6.2286584648434395,2.119018742217694,0.5595093711088471,False
Qwen3-30B-A3B,swe_verified,fixed_k2,2,greedy,1,qwen3_30ba3b_swe_verified_profile_k2_20260712,128,16894.2039030402,16894.2039030402,7.576562987792856,2.1108480118555746,0.5554240059277873,False
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_profile_k3_20260712,1,479.3122974319603,479.3122974319603,2.0863224360354593,2.4270462633451957,0.47568208778173193,False
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_profile_k3_20260712,2,596.7992237029615,596.7992237029615,3.3512107934567936,2.416028285209193,0.47200942840306426,False
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_profile_k3_20260712,4,1280.0052464213911,1280.0052464213911,3.1249871914065253,2.3907207470090457,0.4635735823363486,False
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_profile_k3_20260712,8,2181.069320361186,2181.069320361186,3.667925602050648,2.385007278020378,0.46166909267345946,False
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_profile_k3_20260712,16,3476.4898915600065,3476.4898915600065,4.602343311523427,2.329779673063255,0.44325989102108504,False
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_profile_k3_20260712,32,6107.830346959359,6107.830346959359,5.239176300293025,2.38628750364113,0.4620958345470434,False
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_profile_k3_20260712,64,10287.106471223351,10287.106471223351,6.221380149902256,2.3604848004610286,0.45349493348700953,False
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_profile_k3_20260712,128,17126.62080453367,17126.62080453367,7.473745198242288,2.382572659359834,0.46085755311994475,False
Qwen3-30B-A3B,swe_verified,fixed_k5,5,greedy,1,qwen3_30ba3b_swe_verified_profile_k5_20260712,1,421.77719988002275,421.77719988002275,2.3709200029884414,2.6758169934640526,0.3351633986928105,False
Qwen3-30B-A3B,swe_verified,fixed_k5,5,greedy,1,qwen3_30ba3b_swe_verified_profile_k5_20260712,2,564.9668158925047,564.9668158925047,3.5400309252509032,2.727393617021277,0.34547872340425534,False
Qwen3-30B-A3B,swe_verified,fixed_k5,5,greedy,1,qwen3_30ba3b_swe_verified_profile_k5_20260712,4,1214.4130889012251,1214.4130889012251,3.293772141091722,2.5943037974683545,0.3188607594936709,False
Qwen3-30B-A3B,swe_verified,fixed_k5,5,greedy,1,qwen3_30ba3b_swe_verified_profile_k5_20260712,8,2103.0438456647225,2103.0438456647225,3.8040100859007,2.6375342024786734,0.32750684049573475,False
Qwen3-30B-A3B,swe_verified,fixed_k5,5,greedy,1,qwen3_30ba3b_swe_verified_profile_k5_20260712,16,3488.5981348803707,3488.5981348803707,4.586369476044183,2.6504367518602394,0.3300873503720479,False
Qwen3-30B-A3B,swe_verified,fixed_k5,5,greedy,1,qwen3_30ba3b_swe_verified_profile_k5_20260712,32,6302.720100868537,6302.720100868537,5.077172948801945,2.644534086325131,0.32890681726502624,False
Qwen3-30B-A3B,swe_verified,fixed_k5,5,greedy,1,qwen3_30ba3b_swe_verified_profile_k5_20260712,64,10088.147284962874,10088.147284962874,6.344078668973907,2.6328247339891586,0.32656494679783177,False
Qwen3-30B-A3B,swe_verified,fixed_k5,5,greedy,1,qwen3_30ba3b_swe_verified_profile_k5_20260712,128,5689.588753490074,5689.588753490074,22.49723232131373,2.63136983415104,0.326273966830208,False
Qwen3-30B-A3B,swe_verified,fixed_k7,7,greedy,1,qwen3_30ba3b_swe_verified_profile_k7_20260712,1,352.34950198955136,352.34950198955136,2.838091140624499,2.6065989847715736,0.22951414068165338,False
Qwen3-30B-A3B,swe_verified,fixed_k7,7,greedy,1,qwen3_30ba3b_swe_verified_profile_k7_20260712,2,537.4967037858069,537.4967037858069,3.720953051271181,2.8028747433264884,0.25755353476092696,False
Qwen3-30B-A3B,swe_verified,fixed_k7,7,greedy,1,qwen3_30ba3b_swe_verified_profile_k7_20260712,4,1135.6549325546066,1135.6549325546066,3.5221966508807157,2.6337937680693866,0.23339910972419806,False
Qwen3-30B-A3B,swe_verified,fixed_k7,7,greedy,1,qwen3_30ba3b_swe_verified_profile_k7_20260712,8,1917.918469823926,1917.918469823926,4.171188778808954,2.7275299600532623,0.24678999429332318,False
Qwen3-30B-A3B,swe_verified,fixed_k7,7,greedy,1,qwen3_30ba3b_swe_verified_profile_k7_20260712,16,3324.262369735881,3324.262369735881,4.813097830563606,2.7180039787798407,0.24542913982569156,False
Qwen3-30B-A3B,swe_verified,fixed_k7,7,greedy,1,qwen3_30ba3b_swe_verified_profile_k7_20260712,32,6059.318472799527,6059.318472799527,5.281121984864967,2.764549707109444,0.25207852958706345,False
Qwen3-30B-A3B,swe_verified,fixed_k7,7,greedy,1,qwen3_30ba3b_swe_verified_profile_k7_20260712,64,9327.85270425329,9327.85270425329,6.8611718076141415,2.692790869529518,0.24182726707564542,False
Qwen3-30B-A3B,swe_verified,fixed_k7,7,greedy,1,qwen3_30ba3b_swe_verified_profile_k7_20260712,128,5603.404270459218,5603.404270459218,22.843256317379712,2.725588158919761,0.24651259413139445,False
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_profile_k0_20260712,1,130.67033940579543,65.33516970289772,7.652846120606682,,,False
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_profile_k0_20260712,2,255.98475929192034,127.99237964596017,7.812965137190986,,,False
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_profile_k0_20260712,4,506.65650596344557,253.32825298172278,7.894895166487004,,,False
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_profile_k0_20260712,8,1007.637758350143,503.8188791750715,7.939361078626916,,,False
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_profile_k0_20260712,16,2013.216316366184,1006.608158183092,7.947481783219246,,,False
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_profile_k0_20260712,32,3799.11362822877,1899.556814114385,8.423017348633266,,,False
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_profile_k0_20260712,64,6865.413179956016,3432.706589978008,9.322090065438715,,,False
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_profile_k0_20260712,128,11774.170817150403,5887.085408575202,10.871253864735309,,,False
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_profile_k0_20260712,256,18320.309055900914,9160.154527950457,13.973563394529265,,,False
Qwen3-32B,openmath,fixed_k1,1,greedy,2,qwen3_32b_openmath_profile_k1_20260712,1,226.55189677072252,113.27594838536126,4.413999680664915,1.8474729241877257,0.8474729241877257,False
Qwen3-32B,openmath,fixed_k1,1,greedy,2,qwen3_32b_openmath_profile_k1_20260712,2,437.0628920583535,218.53144602917675,4.576000471192998,1.829682610639249,0.829682610639249,False
Qwen3-32B,openmath,fixed_k1,1,greedy,2,qwen3_32b_openmath_profile_k1_20260712,4,840.1768882651525,420.0884441325762,4.760902205081408,1.8062665489849956,0.8062665489849956,False
Qwen3-32B,openmath,fixed_k1,1,greedy,2,qwen3_32b_openmath_profile_k1_20260712,8,1668.533279375389,834.2666396876945,4.7946301694352655,1.8241060487913558,0.8241060487913557,False
Qwen3-32B,openmath,fixed_k1,1,greedy,2,qwen3_32b_openmath_profile_k1_20260712,16,3216.0047715438573,1608.0023857719286,4.97511699658304,1.8209063108145678,0.8209063108145677,False
Qwen3-32B,openmath,fixed_k1,1,greedy,2,qwen3_32b_openmath_profile_k1_20260712,32,5758.693690780398,2879.346845390199,5.556815784668601,1.8161878881987579,0.8161878881987578,False
Qwen3-32B,openmath,fixed_k1,1,greedy,2,qwen3_32b_openmath_profile_k1_20260712,64,10156.957241312017,5078.478620656008,6.301099677735067,1.804062801267043,0.8040628012670431,False
Qwen3-32B,openmath,fixed_k1,1,greedy,2,qwen3_32b_openmath_profile_k1_20260712,128,15793.433913604696,7896.716956802348,8.104633906736325,1.8113061453054677,0.8113061453054677,False
Qwen3-32B,openmath,fixed_k1,1,greedy,2,qwen3_32b_openmath_profile_k1_20260712,256,18900.136794570706,9450.068397285353,13.544875509765575,1.813046050787697,0.8130460507876972,False
Qwen3-32B,openmath,fixed_k2,2,greedy,2,qwen3_32b_openmath_profile_k2_20260712,1,288.7805321449544,144.3902660724772,3.462837306145161,2.4532374100719423,0.7266187050359713,False
Qwen3-32B,openmath,fixed_k2,2,greedy,2,qwen3_32b_openmath_profile_k2_20260712,2,575.0832668260273,287.54163341301364,3.477757249029878,2.5327564894932015,0.7663782447466008,False
Qwen3-32B,openmath,fixed_k2,2,greedy,2,qwen3_32b_openmath_profile_k2_20260712,4,1055.912623225937,527.9563116129685,3.7881922348645958,2.467148884870404,0.733574442435202,False
Qwen3-32B,openmath,fixed_k2,2,greedy,2,qwen3_32b_openmath_profile_k2_20260712,8,2036.5545241220045,1018.2772620610023,3.928203200672442,2.4576144036009,0.7288072018004501,False
Qwen3-32B,openmath,fixed_k2,2,greedy,2,qwen3_32b_openmath_profile_k2_20260712,16,3807.264256437533,1903.6321282187664,4.202492635741351,2.4689925401250847,0.7344962700625424,False
Qwen3-32B,openmath,fixed_k2,2,greedy,2,qwen3_32b_openmath_profile_k2_20260712,32,6868.966319386845,3434.4831596934223,4.658633994125694,2.445601463068712,0.722800731534356,False
Qwen3-32B,openmath,fixed_k2,2,greedy,2,qwen3_32b_openmath_profile_k2_20260712,64,10694.241028279563,5347.120514139781,5.984529414547524,2.4379290458206984,0.7189645229103492,False
Qwen3-32B,openmath,fixed_k2,2,greedy,2,qwen3_32b_openmath_profile_k2_20260712,128,15032.464833747967,7516.232416873983,8.514904336422546,2.4391925847339326,0.7195962923669663,False
Qwen3-32B,openmath,fixed_k2,2,greedy,2,qwen3_32b_openmath_profile_k2_20260712,256,12673.17635039994,6336.58817519997,20.200145008786308,2.4489264892742355,0.7244632446371179,False
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_profile_k3_20260712,1,342.5568482555688,171.2784241277844,2.919223495581491,3.0265878877400296,0.6755292959133432,False
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_profile_k3_20260712,2,656.8479538870134,328.4239769435067,3.044844683103065,3.0827689992475547,0.6942563330825182,False
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_profile_k3_20260712,4,1175.5547441116626,587.7773720558313,3.4026488515621622,2.9163998577018857,0.6387999525672952,False
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_profile_k3_20260712,8,2249.184436274085,1124.5922181370424,3.5568448149376763,2.9568747744496573,0.652291591483219,False
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_profile_k3_20260712,16,4187.452893463463,2093.7264467317314,3.820938505356253,2.9522651535621005,0.6507550511873668,False
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_profile_k3_20260712,32,7452.73895308852,3726.36947654426,4.293723448711262,2.9548712862359676,0.6516237620786559,False
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_profile_k3_20260712,64,11766.981519881436,5883.490759940718,5.438947948704254,2.921866642895347,0.6406222142984489,False
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_profile_k3_20260712,128,14240.306118475728,7120.153059237864,8.988570816882202,2.9221381362638343,0.6407127120879448,False
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_profile_k3_20260712,256,14008.56570760211,7004.282853801055,18.27453326367845,2.929329549644162,0.6431098498813873,False
Qwen3-32B,openmath,fixed_k5,5,greedy,2,qwen3_32b_openmath_profile_k5_20260712,1,418.61628984949374,209.30814492474687,2.3888224711932082,3.9120458891013383,0.5824091778202677,False
Qwen3-32B,openmath,fixed_k5,5,greedy,2,qwen3_32b_openmath_profile_k5_20260712,2,810.9551930701272,405.4775965350636,2.466227501951579,3.9271332694151484,0.5854266538830297,False
Qwen3-32B,openmath,fixed_k5,5,greedy,2,qwen3_32b_openmath_profile_k5_20260712,4,1321.0973294391624,660.5486647195812,3.0277860009739754,3.533189655172414,0.5066379310344827,False
Qwen3-32B,openmath,fixed_k5,5,greedy,2,qwen3_32b_openmath_profile_k5_20260712,8,2411.126344659089,1205.5631723295446,3.3179513872099164,3.652783964365256,0.5305567928730512,False
Qwen3-32B,openmath,fixed_k5,5,greedy,2,qwen3_32b_openmath_profile_k5_20260712,16,4423.689354158702,2211.844677079351,3.6168904999982487,3.6009003074220467,0.5201800614844093,False
Qwen3-32B,openmath,fixed_k5,5,greedy,2,qwen3_32b_openmath_profile_k5_20260712,32,6130.938112794104,3065.469056397052,5.219429622560057,3.6343085106382977,0.5268617021276596,False
Qwen3-32B,openmath,fixed_k5,5,greedy,2,qwen3_32b_openmath_profile_k5_20260712,64,10920.480224538293,5460.240112269146,5.860548133789223,3.588037413849688,0.5176074827699376,False
Qwen3-32B,openmath,fixed_k5,5,greedy,2,qwen3_32b_openmath_profile_k5_20260712,128,8772.20117135079,4386.100585675395,14.591548631834428,3.540320621811999,0.5080641243623998,False
Qwen3-32B,openmath,fixed_k5,5,greedy,2,qwen3_32b_openmath_profile_k5_20260712,256,14571.887031965156,7285.943515982578,17.568074707032366,3.5952886684116043,0.5190577336823209,False
